S.No,Name,Games_Played,Goals,Assists,Yellow_cards,Red_cards,Club
908,Peter Ankersen,15,-,1,2,-,Genoa
909,Lasse Schone,22,1,2,4,-,Genoa
910,Ivan Radovanovic,19,-,1,3,-,Genoa
911,Sebastian Eriksson,-,-,-,-,-,Genoa
912,Valon Behrami,7,-,-,1,-,Genoa
913,Stefano Sturaro,11,1,4,5,-,Genoa
914,Lukas Lerager,11,-,-,3,-,Genoa
915,Francesco Cassata,17,2,-,7,-,Genoa
916,Filip Jagiello,6,-,-,-,-,Genoa
917,Marko Pajac,11,-,-,1,-,Genoa
918,Iago Falque,5,-,-,-,-,Genoa
919,Goran Pandev,22,7,1,4,-,Genoa
920,Andrea Pinamonti,20,2,2,1,-,Genoa
921,Antonio Sanabria,16,3,3,2,-,Genoa
922,Andrea Favilli,12,-,-,3,-,Genoa
923,Mattia Destro,7,-,-,2,-,Genoa
924,Juan Musso,26,37,9,-,-,Udinese
925,Nicolas,-,-,-,-,-,Udinese
926,Samuele Perisan,-,-,-,-,-,Udinese
927,Rodrigo Becao,20,1,-,6,-,Udinese
928,Samir,10,-,-,3,-,Udinese
929,William Troost Ekong,23,-,-,4,-,Udinese
930,Bram Nuytinck,16,-,-,2,-,Udinese
931,Sebastian Prodl,2,-,-,-,-,Udinese
932,Sebastien De Maio,13,-,-,1,-,Udinese
933,Marvin Zeegelaar,4,-,-,-,-,Udinese
934,Jens Stryger Larsen,22,1,2,2,-,Udinese
935,Hidde Ter Avest,9,-,-,-,-,Udinese
936,Rolando Mandragora,25,-,3,2,-,Udinese
937,Walace,10,-,-,1,-,Udinese
938,Mato Jajalo,20,-,-,6,-,Udinese
939,Seko Fofana,21,1,4,2,-,Udinese
940,Ken Sema,22,2,-,4,-,Udinese
941,Rodrigo De Paul,23,5,2,4,1,Udinese
942,Kevin Lasagna,25,4,-,1,-,Udinese
943,Stefano Okaka,22,5,2,8,-,Udinese
944,Ilija Nestorovski,17,1,1,4,-,Udinese
945,Lukasz Teodorczyk,7,-,1,1,-,Udinese
946,Jesse Joronen,22,43,4,1,-,Brescia
947,Enrico Alfonso,4,4,2,-,-,Brescia
948,Lorenzo Andrenacci,1,2,-,-,-,Brescia
949,Andrea Cistana,21,1,-,7,1,Brescia
950,Jhon Chancellor,23,3,-,3,-,Brescia
951,Daniele Gastaldello,4,-,-,-,-,Brescia
952,Massimiliano Mangraviti,7,-,-,2,-,Brescia
953,Ales Mateju,20,-,1,5,-,Brescia
954,Bruno Martella,17,-,-,2,-,Brescia
955,Stefano Sabelli,26,-,2,3,-,Brescia
956,Alessandro Semprini,1,-,-,-,-,Brescia
957,Sandro Tonali,23,1,5,6,-,Brescia
958,Mattia Viviani,3,-,-,-,-,Brescia
959,Dimitri Bisoli,25,1,1,6,-,Brescia
960,Emanuele Ndoj,13,-,1,2,-,Brescia
961,Romulo,21,1,3,3,-,Brescia
962,Birkir Bjarnason,5,-,-,-,-,Brescia
963,Daniele Dessena,13,-,1,3,-,Brescia
964,Jaromir Zmrhal,10,-,-,-,-,Brescia
965,Nikolas Spalek,15,1,1,2,-,Brescia
966,Mario Balotelli,19,5,-,6,1,Brescia
967,Alfredo Donnarumma,21,4,-,-,-,Brescia
968,Ernesto Torregrossa,13,4,1,5,-,Brescia
969,Simon Skrabb,4,-,-,1,-,Brescia
970,Florian Aye,15,-,-,2,-,Brescia
971,Etrit Berisha,26,44,3,2,-,SPAL
972,Karlo Letica,-,-,-,-,-,SPAL
973,Demba Thiam,-,-,-,-,-,SPAL
974,Francesco Vicari,23,-,-,4,-,SPAL
975,Kevin Bonifazi,9,2,-,1,-,SPAL
976,Ervin Zukanovic,3,-,-,1,-,SPAL
977,Thiago Cionek,20,-,2,9,-,SPAL
978,Nenad Tomovi%c4%87,19,-,1,5,1,SPAL
979,Bartosz Salamon,-,-,-,-,-,SPAL
980,Felipe,12,-,-,4,-,SPAL
981,Paolo Cannistra,-,-,-,-,-,SPAL
982,Arkadiusz Reca,18,-,1,1,-,SPAL
983,Riccardo Mastrilli,-,-,-,-,-,SPAL
984,Jacopo Sala,9,-,-,1,-,SPAL
985,Simone Missiroli,25,1,2,7,-,SPAL
986,Mirko Valdifiori,14,-,2,2,-,SPAL
987,Lucas Castro,19,2,-,2,-,SPAL
988,Alessandro Murgia,17,-,1,2,-,SPAL
989,Bryan Dabo,4,-,1,1,-,SPAL
990,Mattia Valoti,21,2,1,6,-,SPAL
991,Georgi Tunjov,3,-,-,-,-,SPAL
992,Gabriel Strefezza,20,1,2,5,-,SPAL
993,Marco Dalessandro,4,-,-,-,-,SPAL
994,Mohamed Fares,2,-,-,-,-,SPAL
995,Federico Di Francesco,15,2,1,4,-,SPAL
996,Andrea Petagna,24,11,1,5,-,SPAL
997,Alberto Cerri,11,1,-,1,-,SPAL
998,Sergio Floccari,19,-,-,2,-,SPAL
999,Gabriel,22,47,1,1,-,Lecce
1000,Mauro Vigorito,5,9,1,1,-,Lecce
1001,Gianmarco Chironi,-,-,-,-,-,Lecce
1002,Fabio Lucioni,25,1,-,6,-,Lecce
1003,Biagio Meccariello,9,-,-,2,-,Lecce
1004,Luca Rossettini,25,-,2,5,-,Lecce
1005,Nehuen Paz,6,-,1,1,-,Lecce
1006,Marco Calderoni,19,3,1,6,-,Lecce
1007,Cristian Dellorco,9,-,-,-,-,Lecce
1008,Brayan Vera,3,-,-,-,-,Lecce
1009,Giulio Donati,9,1,-,1,-,Lecce
1010,Andrea Rispoli,20,-,-,4,-,Lecce
1011,Jacopo Petriccione,20,-,4,7,-,Lecce
1012,Panagiotis Tachtsidis,19,-,1,4,-,Lecce
1013,Antonin Barak,13,1,-,1,-,Lecce
1014,Yevgen Shakhov,16,-,3,3,-,Lecce
1015,Zan Majer,20,1,2,7,-,Lecce
1016,Alessandro Deiola,9,1,1,2,-,Lecce
1017,Riccardo Saponara,7,1,3,2,1,Lecce
1018,Marco Mancosu,21,8,1,2,-,Lecce
1019,Diego Farias,12,2,1,2,1,Lecce
1020,Filippo Falco,19,3,3,-,-,Lecce
1021,Khouma Babacar,17,2,1,2,-,Lecce
1022,Gianluca Lapadula,19,7,-,7,1,Lecce
1023,Samuele Oltremarini,16,5,-,4,-,Lecce
1024,Salvatore Rimoli,16,8,-,-,-,Lecce
