Home team,Away team,result,date
Newcastle,Man City, 2:2 ,30/11/19
Spurs,Bournemouth, 3:2 ,30/11/19
Liverpool,Brighton, 2:1 ,30/11/19
Burnley,Crystal Palace, 0:2 ,30/11/19
Chelsea,West Ham, 0:1 ,30/11/19
Southampton,Watford, 2:1 ,30/11/19
Wolves,Sheffield Utd., 1:1 ,30/11/19
Norwich,Arsenal, 2:2 ,30/11/19
Man Utd,Aston Villa, 2:2 ,30/11/19
Leicester,Everton, 2:1 ,30/11/19
Crystal Palace,Bournemouth, 1:0 ,03/12/19
Burnley,Man City, 1:4 ,03/12/19
Southampton,Norwich, 2:1 ,03/12/19
Chelsea,Aston Villa, 2:1 ,03/12/19
Leicester,Watford, 2:0 ,03/12/19
Man Utd,Spurs, 2:1 ,03/12/19
Wolves,West Ham, 2:0 ,03/12/19
Liverpool,Everton, 5:2 ,03/12/19
Sheffield Utd.,Newcastle, 0:2 ,03/12/19
Arsenal,Brighton, 1:2 ,03/12/19
Everton,Chelsea, 3:1 ,07/12/19
Watford,Crystal Palace, 0:0 ,07/12/19
Spurs,Burnley, 5:0 ,07/12/19
Bournemouth,Liverpool, 0:3 ,07/12/19
Man City,Man Utd, 1:2 ,07/12/19
Norwich,Sheffield Utd., 1:2 ,07/12/19
Newcastle,Southampton, 2:1 ,07/12/19
Aston Villa,Leicester, 1:4 ,07/12/19
Brighton,Wolves, 2:2 ,07/12/19
West Ham,Arsenal, 1:3 ,07/12/19
Liverpool,Watford, 2:0 ,14/12/19
Sheffield Utd.,Aston Villa, 2:0 ,14/12/19
Leicester,Norwich, 1:1 ,14/12/19
Burnley,Newcastle, 1:0 ,14/12/19
Chelsea,Bournemouth, 0:1 ,14/12/19
Southampton,West Ham, 0:1 ,14/12/19
Wolves,Spurs, 1:2 ,14/12/19
Man Utd,Everton, 1:1 ,14/12/19
Arsenal,Man City, 0:3 ,14/12/19
Crystal Palace,Brighton, 1:1 ,14/12/19
Everton,Arsenal, 0:0 ,21/12/19
Norwich,Wolves, 1:2 ,21/12/19
Newcastle,Crystal Palace, 1:0 ,21/12/19
Brighton,Sheffield Utd., 0:1 ,21/12/19
Bournemouth,Burnley, 0:1 ,21/12/19
Aston Villa,Southampton, 1:3 ,21/12/19
Man City,Leicester, 3:1 ,21/12/19
Watford,Man Utd, 2:0 ,21/12/19
Spurs,Chelsea, 0:2 ,21/12/19
West Ham,Liverpool, 0:2 ,21/12/19
Spurs,Brighton, 2:1 ,26/12/19
Sheffield Utd.,Watford, 1:1 ,26/12/19
Bournemouth,Arsenal, 1:1 ,26/12/19
Chelsea,Southampton, 0:2 ,26/12/19
Aston Villa,Norwich, 1:0 ,26/12/19
Crystal Palace,West Ham, 2:1 ,26/12/19
Everton,Burnley, 1:0 ,26/12/19
Man Utd,Newcastle, 4:1 ,26/12/19
Leicester,Liverpool, 0:4 ,26/12/19
Wolves,Man City, 3:2 ,26/12/19
Brighton,Bournemouth, 2:0 ,28/12/19
Watford,Aston Villa, 3:0 ,28/12/19
Southampton,Crystal Palace, 1:1 ,28/12/19
Newcastle,Everton, 1:2 ,28/12/19
West Ham,Leicester, 1:2 ,28/12/19
Norwich,Spurs, 2:2 ,28/12/19
Burnley,Man Utd, 0:2 ,28/12/19
Arsenal,Chelsea, 1:2 ,28/12/19
Liverpool,Wolves, 1:0 ,28/12/19
Man City,Sheffield Utd., 2:0 ,28/12/19
Brighton,Chelsea, 1:1 ,01/01/20
Burnley,Aston Villa, 1:2 ,01/01/20
Watford,Wolves, 2:1 ,01/01/20
Southampton,Spurs, 1:0 ,01/01/20
Newcastle,Leicester, 0:3 ,01/01/20
West Ham,Bournemouth, 4:0 ,01/01/20
Man City,Everton, 2:1 ,01/01/20
Norwich,Crystal Palace, 1:1 ,01/01/20
Arsenal,Man Utd, 2:0 ,01/01/20
Liverpool,Sheffield Utd., 2:0 ,01/01/20
Sheffield Utd.,West Ham, 1:0 ,10/01/20
Crystal Palace,Arsenal, 1:1 ,10/01/20
Wolves,Newcastle, 1:1 ,10/01/20
Man Utd,Norwich, 4:0 ,10/01/20
Leicester,Southampton, 1:2 ,10/01/20
Chelsea,Burnley, 3:0 ,10/01/20
Everton,Brighton, 1:0 ,10/01/20
Spurs,Liverpool, 0:1 ,10/01/20
Bournemouth,Watford, 0:3 ,10/01/20
Aston Villa,Man City, 1:6 ,10/01/20
Watford,Spurs, 0:0 ,18/01/20
West Ham,Everton, 1:1 ,18/01/20
Norwich,Bournemouth, 1:0 ,18/01/20
Southampton,Wolves, 2:3 ,18/01/20
Brighton,Aston Villa, 1:1 ,18/01/20
Arsenal,Sheffield Utd., 1:1 ,18/01/20
Man City,Crystal Palace, 2:2 ,18/01/20
Newcastle,Chelsea, 1:0 ,18/01/20
Burnley,Leicester, 2:1 ,18/01/20
Liverpool,Man Utd, 2:0 ,18/01/20
Crystal Palace,Southampton, 0:2 ,21/01/20
Sheffield Utd.,Man City, 0:1 ,21/01/20
Aston Villa,Watford, 2:1 ,21/01/20
Bournemouth,Brighton, 3:1 ,21/01/20
Everton,Newcastle, 2:2 ,21/01/20
Chelsea,Arsenal, 2:2 ,21/01/20
Leicester,West Ham, 4:1 ,21/01/20
Spurs,Norwich, 2:1 ,21/01/20
Man Utd,Burnley, 0:2 ,21/01/20
Wolves,Liverpool, 1:2 ,21/01/20
Leicester,Chelsea, 2:2 ,01/02/20
Liverpool,Southampton, 4:0 ,01/02/20
Bournemouth,Aston Villa, 2:1 ,01/02/20
West Ham,Brighton, 3:3 ,01/02/20
Watford,Everton, 2:3 ,01/02/20
Newcastle,Norwich, 0:0 ,01/02/20
Crystal Palace,Sheffield Utd., 0:1 ,01/02/20
Man Utd,Wolves, 0:0 ,01/02/20
Burnley,Arsenal, 0:0 ,01/02/20
Spurs,Man City, 2:0 ,01/02/20
Everton,Crystal Palace, 3:1 ,08/02/20
Brighton,Watford, 1:1 ,08/02/20
Sheffield Utd.,Bournemouth, 2:1 ,08/02/20
Wolves,Leicester, 0:0 ,08/02/20
Southampton,Burnley, 1:2 ,08/02/20
Norwich,Liverpool, 0:1 ,08/02/20
Aston Villa,Spurs, 2:3 ,08/02/20
Arsenal,Newcastle, 4:0 ,08/02/20
Chelsea,Man Utd, 0:2 ,08/02/20
Man City,West Ham, 2:0 ,08/02/20
Chelsea,Spurs, 2:1 ,22/02/20
Sheffield Utd.,Brighton, 1:1 ,22/02/20
