Home team,Away team,result
Real Sociedad,FC Barcelona, 2:2 
Athletic,SD Eibar, 0:0 
Atlético Madrid,CA Osasuna, 2:0 
Getafe,Real Valladolid, 2:0 
Celta de Vigo,RCD Mallorca, 2:2 
Espanyol,Real Betis, 2:2 
Sevilla FC,Villarreal, 1:2 
Valencia,Real Madrid, 1:1 
SD Eibar,Granada CF, 3:0 
RCD Mallorca,Sevilla FC, 0:2 
FC Barcelona,Alavés, 4:1 
Villarreal,Getafe, 1:0 
Real Valladolid,Valencia, 1:1 
CD Leganés,Espanyol, 2:0 
CA Osasuna,Real Sociedad, 3:4 
Real Betis,Atlético Madrid, 1:2 
Levante,Celta de Vigo, 3:1 
Real Madrid,Athletic, 0:0 
Real Valladolid,CD Leganés, 2:2 
Sevilla FC,Athletic, 1:1 
Valencia,SD Eibar, 1:0 
Getafe,Real Madrid, 0:3 
Atlético Madrid,Levante, 2:1 
Espanyol,FC Barcelona, 2:2 
Granada CF,RCD Mallorca, 1:0 
Real Sociedad,Villarreal, 1:2 
Alavés,Real Betis, 1:1 
Celta de Vigo,CA Osasuna, 1:1 
CD Leganés,Getafe, 0:3 
Levante,Alavés, 0:1 
Real Madrid,Sevilla FC, 2:1 
CA Osasuna,Real Valladolid, 0:0 
SD Eibar,Atlético Madrid, 2:0 
RCD Mallorca,Valencia, 4:1 
Real Betis,Real Sociedad, 3:0 
Villarreal,Espanyol, 1:2 
Athletic,Celta de Vigo, 1:1 
FC Barcelona,Granada CF, 1:0 
CA Osasuna,Levante, 2:0 
Espanyol,Athletic, 1:1 
Valencia,FC Barcelona, 2:0 
Alavés,Villarreal, 1:2 
Sevilla FC,Granada CF, 2:0 
Atlético Madrid,CD Leganés, 0:0 
Celta de Vigo,SD Eibar, 0:0 
Getafe,Real Betis, 1:0 
Real Sociedad,RCD Mallorca, 3:0 
Real Valladolid,Real Madrid, 0:1 
Granada CF,Espanyol, 2:1 
Real Madrid,Atlético Madrid, 1:0 
