"Home team","Away team","result","date"
"Liverpool","Everton"," 5:2 ",
"Sheffield Utd.","Newcastle"," 0:2 ",
"Arsenal","Brighton"," 1:2 ",
"Everton","Chelsea"," 3:1 ",
"Watford","Crystal Palace"," 0:0 ",
"Spurs","Burnley"," 5:0 ",
"Bournemouth","Liverpool"," 0:3 ",
"Man City","Man Utd"," 1:2 ",
"Norwich","Sheffield Utd."," 1:2 ",
"Newcastle","Southampton"," 2:1 ",
"Aston Villa","Leicester"," 1:4 ",
"Brighton","Wolves"," 2:2 ",
"West Ham","Arsenal"," 1:3 ",
"Liverpool","Watford"," 2:0 ",
"Sheffield Utd.","Aston Villa"," 2:0 ",
"Leicester","Norwich"," 1:1 ",
"Burnley","Newcastle"," 1:0 ",
"Chelsea","Bournemouth"," 0:1 ",
"Southampton","West Ham"," 0:1 ",
"Wolves","Spurs"," 1:2 ",
"Man Utd","Everton"," 1:1 ",
"Arsenal","Man City"," 0:3 ",
"Crystal Palace","Brighton"," 1:1 ",
"Everton","Arsenal"," 0:0 ",
"Norwich","Wolves"," 1:2 ",
"Newcastle","Crystal Palace"," 1:0 ",
"Brighton","Sheffield Utd."," 0:1 ",
"Bournemouth","Burnley"," 0:1 ",
"Aston Villa","Southampton"," 1:3 ",
"Man City","Leicester"," 3:1 ",
"Watford","Man Utd"," 2:0 ",
"Spurs","Chelsea"," 0:2 ",
"West Ham","Liverpool"," 0:2 ",
"Spurs","Brighton"," 2:1 ",
"Sheffield Utd.","Watford"," 1:1 ",
"Bournemouth","Arsenal"," 1:1 ",
"Chelsea","Southampton"," 0:2 ",
"Aston Villa","Norwich"," 1:0 ",
"Crystal Palace","West Ham"," 2:1 ",
"Everton","Burnley"," 1:0 ",
"Man Utd","Newcastle"," 4:1 ",
"Leicester","Liverpool"," 0:4 ",
"Wolves","Man City"," 3:2 ",
"Brighton","Bournemouth"," 2:0 ",
"Watford","Aston Villa"," 3:0 ",
"Southampton","Crystal Palace"," 1:1 ",
"Newcastle","Everton"," 1:2 ",
"West Ham","Leicester"," 1:2 ",
"Norwich","Spurs"," 2:2 ",
"Burnley","Man Utd"," 0:2 ",
"Arsenal","Chelsea"," 1:2 ",
"Liverpool","Wolves"," 1:0 ",
"Man City","Sheffield Utd."," 2:0 ",
"Brighton","Chelsea"," 1:1 ",
"Burnley","Aston Villa"," 1:2 ",
"Watford","Wolves"," 2:1 ",
"Southampton","Spurs"," 1:0 ",
"Newcastle","Leicester"," 0:3 ",
"West Ham","Bournemouth"," 4:0 ",
"Man City","Everton"," 2:1 ",
"Norwich","Crystal Palace"," 1:1 ",
"Arsenal","Man Utd"," 2:0 ",
"Liverpool","Sheffield Utd."," 2:0 ",
"Sheffield Utd.","West Ham"," 1:0 ",
"Crystal Palace","Arsenal"," 1:1 ",
"Wolves","Newcastle"," 1:1 ",
"Man Utd","Norwich"," 4:0 ",
"Leicester","Southampton"," 1:2 ",
"Chelsea","Burnley"," 3:0 ",
"Everton","Brighton"," 1:0 ",
"Spurs","Liverpool"," 0:1 ",
"Bournemouth","Watford"," 0:3 ",
"Aston Villa","Man City"," 1:6 ",
"Watford","Spurs"," 0:0 ",
"West Ham","Everton"," 1:1 ",
"Norwich","Bournemouth"," 1:0 ",
"Southampton","Wolves"," 2:3 ",
"Brighton","Aston Villa"," 1:1 ",
"Arsenal","Sheffield Utd."," 1:1 ",
"Man City","Crystal Palace"," 2:2 ",
"Newcastle","Chelsea"," 1:0 ",
"Burnley","Leicester"," 2:1 ",
"Liverpool","Man Utd"," 2:0 ",
"Crystal Palace","Southampton"," 0:2 ",
"Sheffield Utd.","Man City"," 0:1 ",
"Aston Villa","Watford"," 2:1 ",
"Bournemouth","Brighton"," 3:1 ",
"Everton","Newcastle"," 2:2 ",
"Chelsea","Arsenal"," 2:2 ",
"Leicester","West Ham"," 4:1 ",
"Spurs","Norwich"," 2:1 ",
"Man Utd","Burnley"," 0:2 ",
"Wolves","Liverpool"," 1:2 ",
"Leicester","Chelsea"," 2:2 ",
"Liverpool","Southampton"," 4:0 ",
"Bournemouth","Aston Villa"," 2:1 ",
"West Ham","Brighton"," 3:3 ",
"Watford","Everton"," 2:3 ",
"Newcastle","Norwich"," 0:0 ",
"Crystal Palace","Sheffield Utd."," 0:1 ",
"Man Utd","Wolves"," 0:0 ",
"Burnley","Arsenal"," 0:0 ",
"Spurs","Man City"," 2:0 ",
"Everton","Crystal Palace"," 3:1 ",
"Brighton","Watford"," 1:1 ",
"Sheffield Utd.","Bournemouth"," 2:1 ",
"Wolves","Leicester"," 0:0 ",
"Southampton","Burnley"," 1:2 ",
"Norwich","Liverpool"," 0:1 ",
"Aston Villa","Spurs"," 2:3 ",
"Arsenal","Newcastle"," 4:0 ",
"Chelsea","Man Utd"," 0:2 ",
"Man City","West Ham"," 2:0 ",
"Chelsea","Spurs"," 2:1 ",
"Sheffield Utd.","Brighton"," 1:1 ",
"Crystal Palace","Newcastle"," 1:0 ",
"Southampton","Aston Villa"," 2:0 ",
"Burnley","Bournemouth"," 3:0 ",
"Leicester","Man City"," 0:1 ",
"Man Utd","Watford"," 3:0 ",
"Wolves","Norwich"," 3:0 ",
"Arsenal","Everton"," 3:2 ",
"Liverpool","West Ham"," 3:2 ",
"Man City","Arsenal"," ppd. ",
"Aston Villa","Sheffield Utd."," ppd. ",
"Norwich","Leicester"," 1:0 ",
"Brighton","Crystal Palace"," 0:1 ",
"West Ham","Southampton"," 3:1 ",
"Newcastle","Burnley"," 0:0 ",
"Bournemouth","Chelsea"," 2:2 ",
"Watford","Liverpool"," 3:0 ",
"Spurs","Wolves"," 2:3 ",
"Everton","Man Utd"," 1:1 ",
"Liverpool","Bournemouth"," 2:1 ",
"Arsenal","West Ham"," 1:0 ",
"Crystal Palace","Watford"," 1:0 ",
"Sheffield Utd.","Norwich"," 1:0 ",
"Southampton","Newcastle"," 0:1 ",
"Wolves","Brighton"," 0:0 ",
"Burnley","Spurs"," 1:1 ",
"Chelsea","Everton"," 4:0 ",
"Man Utd","Man City"," 2:0 ",
"Leicester","Aston Villa"," 4:0 ",
"Aston Villa","Chelsea"," ppd. ",
"Watford","Leicester"," ppd. ",
"Spurs","Man Utd"," ppd. ",
"Everton","Liverpool"," ppd. ",
"Brighton","Arsenal"," ppd. ",
"Newcastle","Sheffield Utd."," ppd. ",
"Bournemouth","Crystal Palace"," ppd. ",
"Norwich","Southampton"," ppd. ",
"West Ham","Wolves"," ppd. ",
"Man City","Burnley"," ppd. ",
"Spurs","West Ham"," ppd. ",
"Chelsea","Man City"," ppd. ",
"Burnley","Watford"," ppd. ",
"Newcastle","Aston Villa"," ppd. ",
"Norwich","Everton"," ppd. ",
"Man Utd","Sheffield Utd."," ppd. ",
"Liverpool","Crystal Palace"," ppd. ",
"Leicester","Brighton"," ppd. ",
"Wolves","Bournemouth"," ppd. ",
"Southampton","Arsenal"," ppd. ",
"Aston Villa","Wolves"," ppd. ",
"Brighton","Man Utd"," ppd. ",
"Watford","Southampton"," ppd. ",
"Arsenal","Norwich"," ppd. ",
"Bournemouth","Newcastle"," ppd. ",
"Crystal Palace","Burnley"," ppd. ",
"Sheffield Utd.","Spurs"," ppd. ",
"West Ham","Chelsea"," ppd. ",
"Man City","Liverpool"," ppd. ",
"Everton","Leicester"," ppd. ",
"Newcastle","West Ham"," ppd. ",
"Man Utd","Bournemouth"," ppd. ",
"Burnley","Sheffield Utd."," ppd. ",
"Leicester","Crystal Palace"," ppd. ",
"Southampton","Man City"," ppd. ",
"Norwich","Brighton"," ppd. ",
"Spurs","Everton"," ppd. ",
"Chelsea","Watford"," ppd. ",
"Liverpool","Aston Villa"," ppd. ",
"Wolves","Arsenal"," ppd. ",
"Crystal Palace","Chelsea"," ppd. ",
"Everton","Southampton"," ppd. ",
"West Ham","Burnley"," ppd. ",
"Man City","Newcastle"," ppd. ",
"Bournemouth","Spurs"," ppd. ",
"Watford","Norwich"," ppd. ",
"Arsenal","Leicester"," ppd. ",
"Sheffield Utd.","Wolves"," ppd. ",
"Aston Villa","Man Utd"," ppd. ",
"Brighton","Liverpool"," ppd. ",
"Liverpool","Burnley"," ppd. ",
"Bournemouth","Leicester"," ppd. ",
"Wolves","Everton"," ppd. ",
"Man Utd","Southampton"," ppd. ",
"Watford","Newcastle"," ppd. ",
"Norwich","West Ham"," ppd. ",
"Brighton","Man City"," ppd. ",
"Sheffield Utd.","Chelsea"," ppd. ",
"Spurs","Arsenal"," ppd. ",
"Aston Villa","Crystal Palace"," ppd. ",
"West Ham","Watford"," ppd. ",
"Southampton","Brighton"," ppd. ",
"Burnley","Wolves"," ppd. ",
"Man City","Bournemouth"," ppd. ",
"Newcastle","Spurs"," ppd. ",
"Chelsea","Norwich"," ppd. ",
"Everton","Aston Villa"," ppd. ",
"Crystal Palace","Man Utd"," ppd. ",
