Home team,Away team,result
Bologna,Atalanta, 2:1 
Juventus,Udinese Calcio, 3:1 
AC Milan,Sassuolo, 0:0 
AS Roma,SPAL, 3:1 
Fiorentina,Inter, 1:1 
Cagliari Calcio,Lazio, 1:2 
Sampdoria,Juventus, 1:2 
Fiorentina,AS Roma, 1:4 
Udinese Calcio,Cagliari Calcio, 2:1 
Inter,Genoa, 4:0 
Torino,SPAL, 1:2 
Atalanta,AC Milan, 5:0 
Lecce,Bologna, 2:3 
Parma,Brescia, 1:1 
Sassuolo,SSC Napoli, 1:2 
Lazio,Hellas Verona, 0:0 
Brescia,Lazio, 1:2 
SPAL,Hellas Verona, 0:2 
Genoa,Sassuolo, 2:1 
AS Roma,Torino, 0:2 
Bologna,Fiorentina, 1:1 
Atalanta,Parma, 5:0 
Juventus,Cagliari Calcio, 4:0 
AC Milan,Sampdoria, 0:0 
Lecce,Udinese Calcio, 0:1 
SSC Napoli,Inter, 1:3 
Cagliari Calcio,AC Milan, 0:2 
Lazio,SSC Napoli, 1:0 
Inter,Atalanta, 1:1 
Udinese Calcio,Sassuolo, 3:0 
Fiorentina,SPAL, 1:0 
Sampdoria,Brescia, 5:1 
Torino,Bologna, 1:0 
Hellas Verona,Genoa, 2:1 
AS Roma,Juventus, 1:2 
Parma,Lecce, 2:0 
Lazio,Sampdoria, 5:1 
Sassuolo,Torino, 2:1 
SSC Napoli,Fiorentina, 0:2 
AC Milan,Udinese Calcio, 3:2 
Brescia,Cagliari Calcio, 2:2 
Bologna,Hellas Verona, 1:1 
Lecce,Inter, 1:1 
Genoa,AS Roma, 1:3 
Juventus,Parma, 2:1 
Atalanta,SPAL, 1:2 
Brescia,AC Milan, 0:1 
SPAL,Bologna, 1:3 
Fiorentina,Genoa, 0:0 
Torino,Atalanta, 0:7 
Inter,Cagliari Calcio, 1:1 
Hellas Verona,Lecce, 3:0 
Sampdoria,Sassuolo, 0:0 
Parma,Udinese Calcio, 2:0 
AS Roma,Lazio, 1:1 
SSC Napoli,Juventus, 2:1 
Bologna,Brescia, 2:1 
